,Var,bin,bin_range,bin_num,bin_good_num,bin_bad_num,bin_rate,good_bin_rate,bad_bin_rate,bin_rate_cum,good_bin_rate_cum,bad_bin_rate_cum,good_rate,bad_rate,woe,iv
99,avg_cur_bal,2,"[18097.0, 35058.0]",5807,4631,1176,0.18661225014461083,0.19806680638124974,0.15199689802248934,0.9015039526961887,0.8916641717633976,0.9312394985136356,0.7974857930084381,0.20251420699156192,-0.2647442668605958,0.012196744112774858
100,avg_cur_bal,3,"[35058.0, 249829.57999999996]",3065,2533,532,0.0984960473038113,0.10833582823660237,0.06876050148636423,1.0,1.0,0.9999999999999999,0.8264274061990212,0.17357259380097878,-0.4546064494984468,0.01799119878166667
101,tot_coll_amt,0,"[-0.001, 54.0]",25993,19585,6408,0.8353043254707886,0.8376459518412386,0.8282279953470337,0.8353043254707886,0.8376459518412386,0.8282279953470337,0.7534720886392491,0.24652791136075097,-0.011307046190152518,0.0001064892690968211
102,tot_coll_amt,1,"[54.0, 869.0]",3428,2569,859,0.1101613214216852,0.10987553996835037,0.11102494506914824,0.9454656468924738,0.9475214918095889,0.939252940416182,0.7494165694282381,0.25058343057176197,0.010406636035955643,1.1961440541874406e-05
103,tot_coll_amt,2,"[869.0, 933393.4609999999]",1697,1227,470,0.05453435310752619,0.05247850819041102,0.060747059583818014,1.0,0.9999999999999999,1.0,0.7230406599882145,0.2769593400117855,0.14631496115477663,0.0012098127759326185
104,mths_since_last_delinq,0,"[-0.001, 26.0]",6910,5003,1907,0.22205797287743428,0.21397716094264574,0.246477963034768,0.22205797287743428,0.21397716094264574,0.246477963034768,0.7240231548480464,0.2759768451519537,0.14140330527379788,0.004595720839875651
105,mths_since_last_delinq,1,"[26.0, 50.0]",5296,3952,1344,0.17019088630374704,0.1690261323296694,0.17371074059713068,0.39224885918118135,0.38300329327231514,0.42018870363189864,0.7462235649546828,0.2537764350453172,0.027338173376920384,0.00012806863301881115
106,mths_since_last_delinq,2,"[50.0, 70.0]",2657,2047,610,0.0853846648242175,0.08754971985800436,0.07884192839601913,0.4776335240053988,0.4705530131303195,0.49903063202791775,0.7704177643959352,0.22958223560406474,-0.1047619173323486,0.0009122449292878281
107,mths_since_last_delinq,3,"[70.0, 125.12499999999999]",1323,1053,270,0.0425155858345652,0.04503656815362902,0.03489724699495929,0.520149109839964,0.5155895812839485,0.5339278790228771,0.7959183673469388,0.20408163265306123,-0.25506684197401674,0.0025862046277022165
108,mths_since_last_delinq,-9999,[-9999],14932,11326,3606,0.479850890160036,0.4844104187160515,0.4660721209771229,1.0,1.0,1.0,0.7585052236806857,0.24149477631931424,-0.03859213174890378,0.0007077140023913564
109,pub_rec,0,"[-0.001, 28.028]",31118,23381,7737,1.0,1.0,1.0,1.0,1.0,1.0,0.751365769008291,0.24863423099170898,0.0,0.0
110,delinq_2yrs,0,"[-0.001, 21.020999999999997]",31118,23381,7737,1.0,1.0,1.0,1.0,1.0,1.0,0.751365769008291,0.24863423099170898,0.0,0.0
111,mths_since_recent_inq,0,"[-0.001, 1.0]",5838,4073,1765,0.18760845812712898,0.17420127453915574,0.2281245960966783,0.18760845812712898,0.17420127453915574,0.2281245960966783,0.697670435080507,0.302329564919493,0.2696805728805684,0.014542072249255786
112,mths_since_recent_inq,1,"[1.0, 3.0]",5128,3789,1339,0.16479208175332605,0.16205465976647707,0.1730644952824092,0.35240053988045505,0.33625593430563283,0.4011890913790875,0.7388845553822153,0.2611154446177847,0.06573064583415562,0.0007236835989900426
113,mths_since_recent_inq,2,"[3.0, 4.0]",2217,1693,524,0.07124493862073399,0.07240922116248236,0.06772650898280988,0.42364547850118905,0.4086651554681152,0.4689156003618974,0.7636445647271087,0.2363554352728913,-0.06685598665050912,0.0003130673429723596
114,mths_since_recent_inq,3,"[4.0, 24.023999999999997]",15139,11614,3525,0.48650298862394753,0.4967281125700355,0.4556029468786351,0.9101484671251365,0.9053932680381507,0.9245185472405325,0.7671576722372679,0.232842327762732,-0.08642111952404229,0.003554082859662557
115,mths_since_recent_inq,-9999,[-9999],2796,2212,584,0.08985153287486343,0.09460673196184936,0.0754814527594675,1.0,1.0,1.0,0.7911301859799714,0.2088698140200286,-0.2258416686524143,0.004319284968509237
116,il_util,0,"[-0.001, 34.0]",1820,1371,449,0.058487049296227264,0.05863735511740302,0.05803282926198785,0.058487049296227264,0.05863735511740302,0.05803282926198785,0.7532967032967033,0.24670329670329672,-0.010363080658476107,6.26475019980168e-06
117,il_util,1,"[34.0, 376.376]",25161,18882,6279,0.8085673886496562,0.8075788033018263,0.8115548662272198,0.8670544379458834,0.8662161584192293,0.8695876954892077,0.7504471205436986,0.24955287945630142,0.0049113559832315344,1.952786043833665e-05
118,il_util,-9999,[-9999],4137,3128,1009,0.1329455620541166,0.13378384158077072,0.1304123045107923,1.0,1.0,1.0,0.7561034566110708,0.2438965433889292,-0.02552437015000879,8.605636014860528e-05
119,mths_since_recent_revol_delinq,0,"[-0.001, 4.0]",572,413,159,0.01838164406452857,0.017663915144775673,0.02055060100814269,0.01838164406452857,0.017663915144775673,0.02055060100814269,0.722027972027972,0.27797202797202797,0.1513663204207826,0.0004369470173485553
120,mths_since_recent_revol_delinq,1,"[4.0, 42.0]",6619,4823,1796,0.21270647213831223,0.20627860228390574,0.2321313170479514,0.2310881162028408,0.2239425174286814,0.2526819180560941,0.7286599184166792,0.27134008158332074,0.11807553995475699,0.003052573255061009
121,mths_since_recent_revol_delinq,2,"[42.0, 50.0]",1098,824,274,0.035285044025965676,0.03524229074889868,0.03541424324673646,0.26637316022880647,0.2591848081775801,0.28809616130283056,0.7504553734061931,0.2495446265938069,0.004867287640182507,8.369422674243405e-07
122,mths_since_recent_revol_delinq,3,"[50.0, 71.0]",1663,1298,365,0.05344173790089338,0.05551516188358069,0.04717590797466718,0.3198148981296999,0.3146999700611608,0.33527206927749775,0.7805171377029465,0.21948286229705352,-0.16277283251995983,0.0013574039798569984
123,mths_since_recent_revol_delinq,4,"[71.0, 155.15499999999997]",915,722,193,0.0294042033549714,0.030879774175612676,0.024945069148248674,0.3492191014846713,0.34557974423677346,0.36021713842574643,0.7890710382513662,0.21092896174863388,-0.2134252388263567,0.0012666158378291418
124,mths_since_recent_revol_delinq,-9999,[-9999],20251,15301,4950,0.6507808985153287,0.6544202557632266,0.6397828615742536,1.0,1.0,1.0,0.7555676262900598,0.24443237370994025,-0.02262089799749361,0.0003311110008978646
125,num_tl_op_past_12m,0,"[-0.001, 2.0]",18940,14422,4518,0.6086509415772222,0.6168256276463795,0.5839472663823188,0.6086509415772222,0.6168256276463795,0.5839472663823188,0.7614572333685322,0.23854276663146778,-0.05477568928717217,0.0018009349008715884
126,num_tl_op_past_12m,1,"[2.0, 28.028]",12178,8959,3219,0.39134905842277784,0.38317437235362045,0.41605273361768125,1.0,1.0,1.0,0.7356708819182132,0.26432911808178683,0.08232184986281363,0.0027066075197153604
127,num_sats,0,"[0.999, 5.0]",2806,2085,721,0.09017289028857896,0.08917497113040503,0.09318857438283572,0.09017289028857896,0.08917497113040503,0.09318857438283572,0.7430506058446187,0.2569493941553813,0.044024714213631216,0.00017669773615516197
128,num_sats,1,"[5.0, 22.0]",26748,20103,6645,0.8595668102063114,0.8598006928702793,0.8588600232648314,0.9497397004948904,0.9489756640006843,0.952048597647667,0.7515702108568865,0.2484297891431135,-0.0010946543323507316,1.029708058914218e-06
129,num_sats,2,"[22.0, 72.07199999999999]",1564,1193,371,0.05026029950510958,0.05102433599931568,0.047951402352332945,1.0,1.0,1.0,0.7627877237851662,0.23721227621483376,-0.06211464832889703,0.00019087419282036778
130,mths_since_recent_bc_dlq,0,"[-0.001, 7.0]",586,428,158,0.01883154444373032,0.018305461699670674,0.020421351945198396,0.01883154444373032,0.018305461699670674,0.020421351945198396,0.7303754266211604,0.2696245733788396,0.10938154860675395,0.00023143935173774706
131,mths_since_recent_bc_dlq,1,"[7.0, 70.0]",6098,4494,1604,0.19596375088373288,0.19220734784654206,0.20731549696264703,0.2147952953274632,0.21051280954621274,0.22773684890784543,0.7369629386684159,0.2630370613315841,0.07566704684276929,0.0011431890268758585
132,mths_since_recent_bc_dlq,2,"[70.0, 76.0]",447,353,94,0.014364676393084388,0.015097728925195671,0.012149411916763603,0.22915997172054758,0.2256105384714084,0.23988626082460904,0.7897091722595079,0.21029082774049218,-0.21726356350170897,0.0006405618595846492
133,mths_since_recent_bc_dlq,3,"[76.0, 155.15499999999997]",404,321,83,0.012982839514107591,0.013729096274753005,0.010727672224376374,0.24214281123465517,0.2393396347461614,0.25061393304898544,0.7945544554455446,0.20544554455445543,-0.24669080417183395,0.0007404237126480941
134,mths_since_recent_bc_dlq,-9999,[-9999],23583,17785,5798,0.7578571887653448,0.7606603652538386,0.7493860669510146,1.0,1.0,1.0,0.7541449349107407,0.24585506508925922,-0.014932663739370801,0.00016835530545342977
135,num_rev_accts,0,"[1.998, 4.0]",1786,1268,518,0.057394434089594444,0.054232068773790686,0.06695101460514412,0.057394434089594444,0.054232068773790686,0.06695101460514412,0.70996640537514,0.29003359462486,0.21068881842389578,0.0026797396688053895
136,num_rev_accts,1,"[4.0, 9.0]",8282,6149,2133,0.2661482100392056,0.26299131773662376,0.2756882512601784,0.3235426441288,0.31722338651041443,0.3426392658653225,0.7424535136440473,0.2575464863559527,0.04714968367946489,0.0005986563993347935
137,num_rev_accts,2,"[9.0, 21.0]",16034,12118,3916,0.5152644771514879,0.5182840768145075,0.5061393304898539,0.8388071212802879,0.835507463324922,0.8487785963551764,0.7557689908943495,0.2442310091056505,-0.02371151469294936,0.0002879703309191658
138,num_rev_accts,3,"[21.0, 128.128]",5016,3846,1170,0.16119287871971205,0.16449253667507804,0.1512214036448236,1.0,1.0,1.0,0.7667464114832536,0.2332535885167464,-0.08412018719533917,0.0011163701947992538
139,mths_since_recent_bc,0,"[-0.001, 8.0]",12010,8854,3156,0.3859502538723568,0.3786835464693555,0.4079100426521908,0.3859502538723568,0.3786835464693555,0.4079100426521908,0.7372189841798501,0.2627810158201499,0.07434577983526251,0.002172866650565213
140,mths_since_recent_bc,1,"[8.0, 34.0]",13553,10177,3376,0.43553570280866377,0.43526795261109447,0.4363448364999354,0.8214859566810206,0.81395149908045,0.8442548791521262,0.7509038589242234,0.24909614107577657,0.0024710156855001814,2.6609969807883425e-06
141,mths_since_recent_bc,2,"[34.0, 488.48799999999994]",5225,4102,1123,0.16790924866636672,0.1754415978786194,0.14514669768644178,0.9893952053473873,0.9893930969590694,0.989401576838568,0.7850717703349283,0.21492822966507177,-0.18956127273229875,0.005742739837727152
142,mths_since_recent_bc,-9999,[-9999],330,248,82,0.010604794652612637,0.01060690304093067,0.01059842316143208,1.0,1.0,1.0,0.7515151515151515,0.24848484848484848,-0.000799787739144976,6.782103652398339e-09
143,num_accts_ever_120_pd,0,"[-0.001, 1.0]",27603,20739,6864,0.8870428690789897,0.8870022667978273,0.8871655680496316,0.8870428690789897,0.8870022667978273,0.8871655680496316,0.7513313770242365,0.2486686229757635,0.00018408771600741055,3.0061754465805397e-08
144,num_accts_ever_120_pd,1,"[1.0, 32.032]",3515,2642,873,0.11295713092101035,0.1129977332021727,0.11283443195036837,1.0,1.0,1.0,0.7516358463726884,0.2483641536273115,-0.0014462180810843545,2.3616922302313397e-07
145,total_bal_ex_mort,0,"[-0.001, 12548.0]",3631,2814,817,0.11668487692011055,0.12035413369830204,0.10559648442548791,0.11668487692011055,0.12035413369830204,0.10559648442548791,0.7749931148443955,0.22500688515560452,-0.13081343165274753,0.0019304987445044905
146,total_bal_ex_mort,1,"[12548.0, 25532.0]",5883,4416,1467,0.18905456648884889,0.18887130576108807,0.1896083753392788,0.3057394434089594,0.30922543945939013,0.29520485976476674,0.7506374298827129,0.2493625701172871,0.0038949013476345163,2.8708132933954568e-06
147,total_bal_ex_mort,2,"[25532.0, 797171.3749999999]",21604,16151,5453,0.6942605565910406,0.6907745605406099,0.7047951402352333,1.0,1.0,1.0,0.7475930383262359,0.25240696167376414,0.020093659849132386,0.0002817247592714137
148,total_bal_il,0,"[-0.001, 15761.0]",11094,8317,2777,0.3565139147760139,0.35571617980411446,0.35892464779630345,0.3565139147760139,0.35571617980411446,0.35892464779630345,0.7496845141517937,0.25031548584820623,0.008979306599695973,2.8809817817175886e-05
